what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.v20110511,"org.eclipse.equinox.p2.touchpoint.eclipse",978379047421
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",978379047437
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",978379047453
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",978379047468
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",978379047468
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",978379047484
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",978379047484
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",978379047500
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",978379047515
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",978379047515
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",978379047515
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",978379047531
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",978379047546
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",978379047562
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",978379047562
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",978379047562
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",978379047578
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",978379047593
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",978379047609
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",978379047625
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",978379047640
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",978379047656
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",978379047687
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",978379047687
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",978379047703
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",978379047781
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",978379047796
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",978379047875
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",978379047921
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",978379047921
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",978379047937
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",978379047953
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",978379047953
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",978379047968
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",978379047968
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",978379047984
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",978379048000
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",978379048031
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",978379048046
started,bundle,org.eclipse.jdt.core,3.3.3.v_793_R33x,"org.eclipse.jdt.core",978379048062
started,bundle,org.eclipse.jdt.core.manipulation,1.1.0.v20070606-0010,"org.eclipse.jdt.core.manipulation",978379048062
started,bundle,org.eclipse.jdt.ui,3.3.2.r332_20080128,"org.eclipse.jdt.ui",978379048078
started,bundle,org.eclipse.mylyn.compatibility,2.1.0.v20070927-0900,"org.eclipse.mylyn.compatibility",978379048078
os,sysinfo,,,"win32",978379048109
arch,sysinfo,,,"x86",978379048109
ws,sysinfo,,,"win32",978379048109
locale,sysinfo,,,"es_VE",978379048109
processors,sysinfo,,,"1",978379048109
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",978379048109
java.runtime.version,sysinfo,,,"1.6.0_26-b03",978379048109
java.specification.name,sysinfo,,,"Java Platform API Specification",978379048109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",978379048109
java.specification.version,sysinfo,,,"1.6",978379048109
java.vendor,sysinfo,,,"Sun Microsystems Inc.",978379048109
java.version,sysinfo,,,"1.6.0_26",978379048109
java.vm.info,sysinfo,,,"mixed mode, sharing",978379048109
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",978379048109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",978379048109
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",978379048109
java.vm.specification.version,sysinfo,,,"1.0",978379048109
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",978379048109
java.vm.version,sysinfo,,,"20.1-b02",978379048109
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.ui",978379054187
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.core",978379055156
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.gnu.ui",978379055343
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201106081058,"org.eclipse.cdt.build.crossgcc",978379056765
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.ui",978379057234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",978379057515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",978379061968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",978379064984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",978379065937
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",978379066140
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",978379067296
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",978379067343
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201106081058,"org.eclipse.cdt.build.crossgcc",978379068296
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers",978379068296
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers.ui",978379068359
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201106081058,"org.eclipse.cdt.codan.ui.cxx",978379068359
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201106081058,"org.eclipse.cdt.codan.core.cxx",978379068359
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201106081058,"org.eclipse.cdt.launch.remote",978379068359
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201106081058,"org.eclipse.cdt.debug.mi.ui",978379068437
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201106081058,"org.eclipse.cdt.debug.mi.core",978379068515
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201106081058,"org.eclipse.cdt.debug.ui.memory.memorybrowser",978379068578
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201106081058,"org.eclipse.cdt.debug.ui.memory.search",978379068656
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",978379068750
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.ui",978379069031
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201106081058,"org.eclipse.cdt.gdb.ui",978379069062
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",978379069140
